SEQ,REG_CUSER,REG_SNO,AIR_TYPE,AIR_BUILD_NO,AIR_BUILD_DATE,AIR_AGE,REG_DATE,AIR_LIMIT_MAN,AIR_FLY_WEIGHT,REG_JANG,PROC_TYPE,PRJ_GBN
17,이스타항공,HL8342,B737-800,40237,10.10.27,8,18.10.30,189,79015ton,청주국제공항,임차,국제항공운송사업
18,이스타항공,HL8343,B737-800,40240,10.12.03,8,18.12.12,189,79ton,청주국제공항,임차,국제항공운송사업
19,이스타항공,HL8340,B737-8,60458,18.12.19,0,18.12.19,189,82.2ton,청주국제공항,임차,국제항공운송사업
20,이스타항공,HL8341,B737-8,60459,18.12.29,0,18.12.29,189,82.2ton,청주국제공항,임차,국제항공운송사업
21,이스타항공,HL8344,B737-800,40242,11.01.21,8,19.02.27,189,79.015ton,김포공항,임차,국제항공운송사업
1,인천광역시,HL9408,BELL230,23032,95.02.01,24,07.11.23,10,3.81ton,인천시 중구 운북동,구매,자가용
2,인천광역시,HL9277,AW139,41286,12.06.01,7,13.03.04,14,6400kg,인천시 중구 운북동,구매,자가용
1,일현학원,HL2040,DA 42,42.AC021,06.12.06,12,14.11.11,4,1785kg,김포공항,구매,자가용
1,전라남도,HL9458,BK117B-2,1119,98.08.26,20,07.12.05,10,3.35ton,전남 영암,구매,자가용
2,전라남도,HL9459,BELL430,49104,05.04.01,14,07.12.05,8,4.2ton,전남 영암,구매,자가용
1,전라북도,HL9445,BK117B-2,1090,93.09.16,25,07.12.05,10,3.35ton,완주,구매,자가용
1,제**(1297),HL1153,C-172S,172S8661,00.11.27,18,11.12.19,4,2550lbs,무안공항,구매,항공기사용사업
1,제일항업,HL5111,C-208,20800328,00.07.28,18,00.11.16,10,3.628ton,김포공항,구매,항공기사용사업
1,제주소방안전본부,HL9633,KUH-1EM,KUH-1EM-17-001,18.03.26,1,18.04.06,12,8709kg,제주소방안전본부,,자가용
1,제주항공,HL7780,B737-800,28827,00.01.29,19,08.07.20,189,79.015ton,제주국제공항,임차,국제항공운송사업
2,제주항공,HL8206,B737-800,30877,01.03.02,18,09.09.29,186,79.015ton,제주국제공항,임차,국제항공운송사업
3,제주항공,HL8234,B737-800,30285,02.11.14,16,10.11.19,189,79.015ton,제주국제공항,임차,국제항공운송사업
4,제주항공,HL8239,B737-800,29344,01.05.01,18,11.06.16,189,79.000ton,제주국제공항,임차,국제항공운송사업
5,제주항공,HL8260,B737-800,30622,02.03.16,17,12.03.15,186,79.015ton,제주국제공항,임차,국제항공운송사업
6,제주항공,HL8261,B737-800,30624,02.07.26,16,12.09.17,186,79.015ton,제주국제공항,임차,국제항공운송사업
7,제주항공,HL8287,B737-800,30665,04.01.30,15,13.06.03,189,79015kg,제주국제공항,임차,국제항공운송사업
8,제주항공,HL8295,B737-800,30694,06.02.08,13,14.02.06,186,79015kg,제주국제공항,임차,국제항공운송사업
9,제주항공,HL8297,B737-800,30673,04.05.04,15,14.03.14,186,79015kg,제주국제공항,임차,국제항공운송사업
10,제주항공,HL8296,B737-800,30695,04.03.01,15,14.04.04,186,79015kg,제주국제공항,임차,국제항공운송사업
11,제주항공,HL8019,B737-800,32694,06.05.19,13,14.06.27,189,79.015ton,제주국제공항,임차,국제항공운송사업
12,제주항공,HL8020,B737-800,32683,06.12.12,12,14.12.01,189,79015kg,제주국제공항,임차,국제항공운송사업
13,제주항공,HL8031,B737-800,37361,10.12.10,8,15.02.12,189,79015kg,제주국제공항,임차,국제항공운송사업
14,제주항공,HL8032,B737-800,36367,10.03.10,9,15.03.31,186,70987kg,제주국제공항,임차,국제항공운송사업
15,제주항공,HL8034,B737-800,38101,11.10.10,7,15.04.10,189,79015kg,제주국제공항,임차,국제항공운송사업
16,제주항공,HL8033,B737-800,35071,06.12.12,12,15.05.19,189,79015kg,제주국제공항,임차,국제항공운송사업
17,제주항공,HL8049,B737-800,36570,08.04.10,11,15.11.13,189,79015kg,제주국제공항,임차,국제항공운송사업
18,제주항공,HL8050,B737-800,36571,08.04.10,11,15.11.27,189,79105kg,제주국제공항,임차,국제항공운송사업
19,제주항공,HL8051,B737-800,36573,08.04.17,11,15.12.14,189,79015kg,제주국제공항,임차,국제항공운송사업
20,제주항공,HL8061,B737-800,37514,08.12.02,10,16.02.11,189,74990kg,제주국제공항,임차,국제항공운송사업
21,제주항공,HL8062,B737-800,33634,08.12.19,10,16.04.04,189,79015kg,제주국제공항,임차,국제항공운송사업
22,제주항공,HL8063,B737-800,37519,09.01.21,10,16.04.18,189,79015kg,제주국제공항,임차,국제항공운송사업
23,제주항공,HL8064,B737-800,37532,09.05.06,10,16.07.04,189,79015kg,제주국제공항,임차,국제항공운송사업
24,제주항공,HL8087,B737-800,35018,09.11.05,9,16.12.09,189,79015kg,제주공항,임차,국제항공운송사업
25,제주항공,HL8088,B737-800,37541,09.09.04,9,17.02.03,189,79015kg,제주국제공항,임차,국제항공운송사업
26,제주항공,HL8090,B737-800,37540,09.07.24,9,17.03.24,189,79015kg,제주국제공항,임차,국제항공운송사업
27,제주항공,HL8089,B737-800,37543,09.09.11,9,17.04.21,189,79015kg,제주국제공항,임차,국제항공운송사업
28,제주항공,HL7213,B737-800,36814,09.09.02,9,17.09.18,189,78999kg,제주국제공항,임차,국제항공운송사업
29,제주항공,HL8301,B737-800,29646,07.06.08,12,17.12.18,189,79000kg,제주국제공항,임차,국제항공운송사업
30,제주항공,HL8304,B737-800,37816,10.03.03,9,18.02.26,189,78999kg,제주국제공항,임차,국제항공운송사업
31,제주항공,HL8303,B737-800,30826,05.06.23,14,18.04.11,189,79000kg,제주국제공항,임차,국제항공운송사업
32,제주항공,HL8302,B737-800,29671,05.05.02,14,18.05.04,189,79000kg,제주국제공항,임차,국제항공운송사업
33,제주항공,HL8316,B737-800,64177,18.07.17,0,18.07.17,189,79000kg,제주국제공항,구매,국제항공운송사업
34,제주항공,HL8305,B737-800,37817,10.08.11,8,18.07.30,189,79000kg,제주국제공항,임차,국제항공운송사업
35,제주항공,HL8317,B737-800,64178,18.08.21,0,18.08.21,189,79000kg,제주국제공항,구매,국제항공운송사업
36,제주항공,HL8318,B737-800,64179,18.10.16,0,18.10.16,189,79000kg,제주국제공항,임구,국제항공운송사업
37,제주항공,HL8331,B737-800,39009,11.09.29,7,18.11.06,189,79000kg,제주국제공항,임차,국제항공운송사업
38,제주항공,HL8321,B737-800,35134,07.01.23,12,18.12.21,189,79000kg,제주국제공항,임차,국제항공운송사업
39,제주항공,HL8332,B737-800,39010,11.12.19,7,19.01.29,189,79000kg,제주국제공항,임차,국제항공운송사업
40,제주항공,HL8322,B737-800,34690,07.02.21,12,19.02.15,189,79000kg,제주국제공항,임차,국제항공운송사업
41,제주항공,HL8333,B737-800,39013,12.05.21,7,19.04.16,189,79000kg,제주국제공항,임차,국제항공운송사업
42,제주항공,HL8334,B737-800,39014,12.06.11,7,19.05.03,189,79000kg,제주국제공항,임차,국제항공운송사업
43,제주항공,HL8337,B737-800,35983,11.04.19,8,19.06.06,189,79000kg,제주국제공항,임차,국제항공운송사업
1,주식회사 신한에어,HL5120,C-208B,208B2290,11.06.29,7,16.04.12,10,8750lbs,무안공항,구매,소형항공기운송사업
1,중앙119구조본부,HL9451,AS-365N2,6504,97.01.24,22,07.12.05,14,4.25ton,경기도 남양주,구매,자가용
2,중앙119구조본부,HL9452,AS-365N2,6549,99.12.10,19,07.12.05,14,4.25ton,대구 달성군,구매,자가용
3,중앙119구조본부,HL9472,EC 225,2702,08.12.16,10,09.01.20,28,11ton,경기도 남양주,구매,자가용
4,중앙119구조본부,HL9619,EC225LP,2987,15.12.18,3,16.03.15,27,11000kg,대구 구지면 구지서로,구매,자가용
1,중앙항업,HL5115,C-208B,208B2011,08.05.26,11,08.12.24,11,3.969ton,김포공항,구매,항공기사용사업
2,중앙항업,HL1114,T-206H,T20608823,08.06.18,11,09.09.22,6,3800lbs,김포공항,구매,항공기사용사업
1,중원대학교,HL1231,C-172S,172S9843,05.06.15,14,15.12.01,4,2550lbs,무안공항,구매,자가용
2,중원대학교,HL1232,C-172S,172S9852,05.06.16,14,15.12.01,4,2550lbs,무안공항,구매,자가용
3,중원대학교,HL1233,C-172S,172S10509,07.05.24,12,15.12.01,4,2550lbs,무안공항,구매,자가용
4,중원대학교,HL1273,C-172S,172S12044,17.06.05,2,17.09.04,4,2550lbs,무안공항,구매,자가용
1,진에어,HL7555,B737-800,30230,99.12.09,19,00.01.20,189,79ton,인천국제공항,임차,국제항공운송사업
2,진에어,HL7556,B737-800,28615,00.01.14,19,00.02.22,189,79015kg,제주국제공항,임차,국제항공운송사업
3,진에어,HL7557,B737-800,28622,00.04.25,19,00.05.26,189,79ton,김포공항,임차,국제항공운송사업
4,진에어,HL7558,B737-800,28625,00.05.27,19,00.06.14,189,79015kg,김포공항,임차,국제항공운송사업
5,진에어,HL7559,B737-800,28626,00.06.23,19,00.07.20,189,79ton,김포공항,임차,국제항공운송사업
6,진에어,HL7561,B737-800,29982,00.08.28,18,00.09.22,189,79ton,인천국제공항,임차,국제항공운송사업
