종목명,국가,시장구분,산업분류,2019-07-01,2019-07-02,2019-07-03,2019-07-04,2019-07-05,2019-07-08,2019-07-09,2019-07-10,2019-07-11,2019-07-12,2019-07-15,2019-07-16,2019-07-17,2019-07-18,2019-07-19,2019-07-22
롯데손해보험,일본,코스피,금융업,0,-0.21,-2.32,-2.32,-3.16,-4.64,-5.49,-4.43,-4.01,-3.59,-4.01,-5.7,-7.81,-7.81,-7.59,-5.7
롯데지주,일본,코스피,금융업,0,0.34,-0.23,-0.34,0.45,-4.53,-7.02,-8.49,-7.36,-6.8,-8.49,-8.61,-11.1,-12.91,-12.23,-13.14
롯데케미칼,일본,코스피,화학,0,1.76,4.88,5.66,4.49,0.59,-2.34,-2.93,-5.47,-6.45,-4.1,-1.76,-1.37,-4.88,-3.52,-3.71
모베이스,일본,코스닥,IT H/W,0,-1.68,-1.99,-2.45,-3.98,-9.34,-8.88,-10.11,-12.1,-12.86,-15.77,-14.09,-18.53,-18.07,-17.92,-16.39
모아텍,일본,코스닥,IT H/W,0,0.87,1.09,0.98,0.55,-0.11,1.2,-0.33,-3.72,-2.84,-3.17,-3.83,-1.97,-2.51,0.77,1.75
모토닉,일본,코스피,운수장비,0,0.47,-0.47,-3.76,-2.82,-7.04,-8.45,-6.1,-4.69,-5.16,-6.95,-6.1,-7.32,-6.1,-4.69,-5.16
삼아알미늄,일본,코스피,철강금속,0,0.1,-0.2,0.51,0.41,-3.56,-5.3,-5.91,-4.68,-1.22,-5.91,-5.91,-7.43,-8.35,-9.16,-8.04
삼일,일본,코스닥,운송,0,-1,-3.82,-3.61,-3.82,-6.43,-8.03,-6.83,-7.43,-6.43,-8.84,-12.85,-13.65,-13.45,-12.05,-11.45
삼화전기,일본,코스피,전기전자,0,0,-0.61,-2.73,-4.55,-12.12,-14.85,-13.94,-13.33,-8.18,-11.82,14.55,26.97,27.88,17.58,19.39
삼화전자,일본,코스피,전기전자,0,2.93,2.12,2.61,5.21,-4.07,-7.98,-5.7,-4.89,-3.91,-3.09,8.96,5.54,5.86,3.26,4.72
새론오토모티브,일본,코스피,운수장비,0,0,-0.74,0,-0.93,-0.93,-0.93,-1.11,-0.74,-0.56,-1.48,-1.48,-1.11,-1.3,-1.11,-2.41
선진,일본,코스피,음식료품,0,-1.35,-2.7,-2.7,-3.15,-5.41,-7.21,-5.86,-5.41,-3.15,-3.15,-1.8,-4.95,-4.95,-3.6,-2.25
세방전지,일본,코스피,전기전자,0,0.12,-1.19,-0.36,5.36,3.45,3.81,1.43,3.1,7.74,6.07,4.17,3.21,3.57,5.36,4.05
솔브레인,일본,코스닥,화학,0,4.55,12.23,17.09,17.29,17.29,9.61,12.44,19.11,16.08,36.5,34.07,39.94,39.53,33.47,32.86
신도리코,일본,코스피,전기전자,0,-0.63,-1.89,-2.11,-1.89,-3.47,-3.47,-2.11,-0.95,-2.53,-2.63,-3.16,-2.32,-2.11,-3.79,-4.95
신성델타테크,일본,코스닥,일반전기전자,0,1.01,3.47,2.31,0.43,-6.36,-7.23,-8.53,-4.48,-4.77,-7.23,-5.49,-6.65,-5.92,-3.18,-3.76
신성이엔지,일본,코스피,전기전자,0,0.77,-2.31,-1.92,-3.08,-6.15,-9.23,-8.85,-8.85,-6.92,-8.46,-8.08,-10,-10,-10.77,-13.46
신영와코루,일본,코스피,섬유의복,0,0,-0.83,0.83,-0.42,0,0.42,-0.83,0,-0.83,-1.25,-1.67,-3.33,-4.17,-3.75,-4.58
신원종합개발,일본,코스닥,건설,0,0,0.78,0.26,1.17,-0.26,-2.98,-2.98,-3.63,-2.59,-1.94,-3.11,-6.22,-7.25,-7.38,-6.48
